>kni    13  0.25
119.81412399860692 37.33568443051214 72.02444792755131 32.825743643329915 
182.81138975966587 11.967039359108334 26.874392197840507 40.34717868338564 
247.8683350748869 4.9539080459770135 4.588878439568101 4.588878439568101 
186.12814002089868 4.588878439568101 1.5057471264367819 69.77723441309645 
63.49826889585515 86.46866945315217 42.41370254266804 69.61935910832464 
23.44493904562872 24.931522117729035 46.21229188436086 167.41124695228152 
168.71714036920946 21.408530128874972 70.24812260536407 1.6262068965517247 
23.975600835945677 11.285802856147681 225.98572274468833 0.7528735632183895 
183.90328456983642 4.709338209683035 49.867150818530114 23.52022640195056 
52.088812260536535 31.726548241030947 125.8476071055382 52.33703239289457 
8.639338209683036 237.84735980494594 0.7528735632183895 14.760428422152563 
203.08604667363298 6.919136189481007 40.24588296760704 11.748934169279003 
111.40840473702556 70.26272378962038 64.7667467781261 15.56212469522815 
