>tll    10  0.25
99.51076311605709 34.65128775834671 17.428044515103423 19.409904610492948 
121.17438791732891 2.1105405405405504 29.860206677265634 17.854864864864965 
147.64812400635915 12.799173290938015 10.55270270270272 0.0 
149.08626391096965 11.39456279809224 10.51917329093802 0.0 
14.678632750397476 1.5405405405405441 149.01920508744024 5.76162162162164 
5.361081081081089 31.067265500794917 4.390540540540545 130.18111287758347 
0.0 147.95351351351331 0.0 23.046486486486526 
158.90675675675655 1.5405405405405441 5.361081081081089 5.191621621621628 
139.30111287758322 0.0 24.09133545310024 7.607551669316385 
86.00565977742437 39.91903020667728 20.175643879173414 24.899666136724925 
