>Kr    11   0.25
52.14686274509813 40.467156862744964 28.738823529411647 157.647156862745 
183.61117647058833 29.644509803921615 17.976960784313704 47.76735294117636 
226.63431372549013 30.05480392156864 5.935588235294098 16.375294117647048 
2.531666666666663 225.9991176470588 8.059999999999976 42.40921568627453 
10.17833333333331 226.98686274509825 0.0 41.83480392156858 
12.451666666666659 266.54833333333266 0.0 0.0 
24.43529411764702 35.005686274509905 45.65509803921582 173.90392156862757 
11.053627450980375 2.0666666666666647 10.333333333333323 255.5463725490198 
0.0 28.450098039215728 0.0 250.54990196078427 
30.46509803921567 85.11019607843143 41.21784313725482 122.2068627450981 
80.52098039215703 52.21372549019617 105.04137254901966 41.22392156862744 
