>cad    10  0.25
34.831627906976784 32.2651162790697 13.335813953488369 75.56744186046525 
12.837209302325585 3.6279069767441903 3.6279069767441903 135.9069767441858 
14.179534883720917 1.5116279069767433 5.511627906976744 134.79720930232534 
23.33395348837207 9.511627906976738 2.7209302325581426 120.43348837209253 
125.73581395348802 1.5116279069767433 10.720930232558128 18.031627906976738 
1.5116279069767433 1.5116279069767433 1.5116279069767433 151.46511627906983 
20.428837209302337 1.5116279069767433 81.81395348837209 52.24558139534885 
84.45023255813945 1.4269767441860455 69.2158139534884 0.9069767441860461 
6.264186046511624 62.618604651162926 38.686511627907 48.430697674418596 
14.003720930232557 68.6930232558141 15.213023255813948 58.0902325581396 
